ADXS,Advaxis Inc Cmn Stk,11.2,10.49,10.54,737900,-0.26,2.41
ADXSW,Advaxis Inc Wts,7.13,6.85,6.85,4000,-0.16,2.28
AEGN,Aegion Corp Cmn Stk,18.76,18.4,18.51,119400,-0.08,0.43
AEGR,Aegerion Pharma Inc,2.9,2.53,2.65,785000,-0.1,3.64
AEHR,Aehr Test Systems,2.89,2.62,2.74,51000,-0.05,1.79
AEIS,Advanced Energy,46.65,45.57,46,432800,-0.18,0.39
AEMD,Aethlon Medical Cmn,5.18,4.89,4.96,12100,-0.15,2.94
AEPI,AEP Inds Inc,111.8,110.9,111.1,63700,-0.3,0.29
AERI,Aerie Pharmaceutical,39.48,38.03,39.36,947100,0.29,0.74
AETI,American Electric Te,2.55,2.42,2.45,3500,-0.1,3.92
AEY,Addvantage Techs Grp,1.81,1.73,1.73,22300,-0.07,3.89
AEZS,Aeterna Zentaris,3.5,3.42,3.42,113700,-0.04,1.16
AFAM,Almost Family Inc,36.7,36.2,36.24,27300,-0.46,1.25
AFH,Atlas Fincl Hld Ord,16.73,16.09,16.23,35300,-0.37,2.23
AFMD,Affimed N.V.,2.97,2.81,2.82,55400,-0.12,4.08
AFSI,Amtrust Financial,26.39,26.12,26.17,745100,-0.38,1.43
AGEN,Agenus Inc,7.07,6.84,7.03,1049500,0.13,1.88
AGFS,Agrofresh Solutions,5.32,5.15,5.16,47800,-0.16,3.01
AGFSW,Agrofresh Sol Wrrnts,0.75,0.66,0.75,4300,0,0
AGII,Argo Group Intl Hlds,55.99,55.24,55.34,85100,-0.6,1.07
AGIIL,Argo Grp Itl Snr NTS,26.3,25.8,26.3,3600,0.16,0.61
AGIO,Agios Pharmaceutical,53.72,52.08,52.7,364200,-0.33,0.62
AGLE,Aeglea Biothera Cmn,6.97,6.43,6.8,15400,0.31,4.78
AGNC,American Capital Age,19.86,19.63,19.82,2326400,0.12,0.61
AGNCB,American Cap Agy Cor,26.67,26.51,26.53,11400,-0.16,0.6
AGNCP,American Capital Pfd,26.8,26.41,26.8,10900,0.19,0.71
AGND,Wt Brclys Usagg Ndur,42.5,42.5,42.5,700,0.12,0.28
AGRX,Agile Therap Cmn Stk,7.44,7.12,7.21,68600,-0.04,0.55
AGTC,Applied Genetic Tech,9.25,8.86,8.91,397900,-0.05,0.56
AGYS,Agilysys Inc,11.32,10.89,10.9,33400,-0.55,4.8
AGZD,Wt Barc Usagg Zro Dr,47.84,47.74,47.74,300,-0.26,0.54
AHGP,Alliance Holdings Gp,25.77,25.23,25.41,78300,0.16,0.63
AHPI,Allied Healthcare,0.67,0.63,0.67,16650,0.05,8.06
AIA,Ishares Asia 50 ETF,49.46,49.22,49.22,55800,-0.6,1.2
AIMC,Altra Indtl Mtn Cmn,28.06,27.54,27.9,121800,0.08,0.29
AIMT,Aimmune Therap Cmn,16.82,15.87,15.91,182200,-0.66,3.98
AINV,Apollo Investment Co,5.89,5.81,5.83,907900,-0.03,0.51
AIQ,Alliance Hlthcare Cmn,7.07,6.46,6.46,20500,-0.27,4.01
AIRG,Airgain Inc,15.55,14.77,14.9,350900,-0.68,4.36
AIRM,Air Methods Cp,32.62,31.64,31.67,286200,-0.78,2.4
AIRR,First Trust Rba Am I,19.99,19.95,19.95,4300,-0.05,0.25
AIRT,Air T Inc,20.68,20.68,20.68,100,-0.15,0.72
AIXG,Aixtron Se,6.17,6.1,6.11,9600,0,0
AKAM,Akamai Technologies,52.25,51.51,51.76,1299100,-0.49,0.94
AKAO,Achaogen Inc Cmn,4.36,4.26,4.3,46500,-0.04,0.92
AKBA,Akebia Therapeutics,9.29,8.95,8.98,138500,-0.16,1.75
AKER,Akers Biosciences Cmn,3.41,3.25,3.41,19800,0.1,3.02
AKRX,Akorn Inc,29.02,27.4,27.42,1223600,-1.8,6.16
AKTX,Akari Therapeutics,9,8.77,9,2700,0.03,0.33
ALCO,Alico Inc,27.21,27.06,27.12,2400,-0.55,1.99
ALDR,Alder Biopharma Cmn,33.91,32.68,32.76,292300,-1.21,3.56
